observation_date,CSCICP02GBM460S
2009-01-01,-30.10
2009-02-01,-27.70
2009-03-01,-23.90
2009-04-01,-20.50
2009-05-01,-20.50
2009-06-01,-17.10
2009-07-01,-15.60
2009-08-01,-16.30
2009-09-01,-9.60
2009-10-01,-8.80
2009-11-01,-8.80
2009-12-01,-10.60
2010-01-01,-8.20
2010-02-01,-7.00
2010-03-01,-8.00
2010-04-01,-8.90
2010-05-01,-11.10
2010-06-01,-11.70
2010-07-01,-14.10
2010-08-01,-12.00
2010-09-01,-16.00
2010-10-01,-16.40
2010-11-01,-18.00
2010-12-01,-17.30
2011-01-01,-21.80
2011-02-01,-20.80
2011-03-01,-21.70
2011-04-01,-25.10
2011-05-01,-17.70
2011-06-01,-19.70
2011-07-01,-21.30
2011-08-01,-23.70
2011-09-01,-24.60
